english,taagra,pos,syn,notes
a,,art,,Not used
aboard,izreho,adv/pr,,"Lit. ""on boat"""
about,eja,adv/pr,,
absence,valqahna,n,,
absent,valqah,adv/pr,,
absurd,gzalzi,adj,,Irregular adjective form.
absurdity,gzalzi,n,,
accept,telai,v,"accepts, accepting",
accepted,telaika,v,,
achieve,ra'kaba,v,"achieves, achieving, attain, attains, attaining",
achieved,ra'kabaka,v,attained,
achievement,ra'kabana,n,"achievement, attainment",
achievements,ra'kabana'a,n,"achievements, attainments",
across,etru,adv/pr,,
active,zavi,adj,lively,
admiral,adima,n,,Borrowed word
admirals,adima'a,n,,
adult,asiit,n,,Irregular
adults,asiit,n,,Irregular
aedra,athranzi,n,,"Lit. ""spirit ancestor"""
after,iko,adj/pr,,
afternoon,lukpal,n,,"Lit. ""late day"""
afternoons,lukpala,n,,
again,pofa,adv,,
against,akrai,pr,opposed,
ago,dre'i,adv,,
air,chi,n,,
akatosh,alkosh,n,,Alkosh is the Khajiiti name for Akatosh
alcohol,zrajit,n,"booze, liquor",
alcohols,zrajita,n,liquors,
alive,wovar,adj,,"Lit. ""with sugar"""
all,tsin'ra,adj/adv/n/pn,"whole, entire",
alliance,samadi,n,"union, partnership, pairing, pact, coalition",
alliances,samada,n,"unions, partnerships, pairings, pacts, coalitions",
allies,samadiit,n,partners,
allow,alsa,v,"allows, allowing, permit, permits, permitting, concede, concedes, conceding, lets, letting",
allowance,alsana,n,"permission, concession",
allowances,alsana'a,n,"permissions, concessions",
allowed,alsaka,v,"permitted, conceded, let",
ally,samadiit,n,partner,
ally,samadith,v,"allies, unite, unites",
along,ajri,adj/pr,,
alphabet,abuka,n,,
alphabets,abuka'a,n,,
already,sabi,adv,,
also,zath,adv,too,
altmer,alimer,n,high elf,"Lit. ""high elf"""
altmeri,alimeri,adj,,
always,raj'kono,adv,forever,"Lit. ""every time"""
am,va,v,,"""I am"", Irregular verb"
am not,na,v,,"""I am not"", Irregular verb"
among,ihaz,pr,"amid, amidst",
amulet,sava,n,,
amulets,sava'a,n,,
an,,art,,Not used
ancestor,anziit,n,,
ancestors,anziit,n,,
ancestry,anzi,n,,
and,an,cj,,
anger,kujith,v,"angers, angering, aggravate, aggravates, aggravating, incense, incenses, incensing, offend, offends, offending",
anger,kujo,n,"acrimony, animosity, ire, enmity, resentment, offense, aggravation",
angered,kujithka,v,"aggravated, incensed, offended",
angers,kuja,n,"aggravations, acrimonies, animosities, ires, enmities, resentments",
angry,kuji,adj,mad,
animal,naraj,n,"beast, creature",
animalistic,naraji,adj,bestial,
animals,naraja,n,"beasts, creatures",
annoy,taza,v,"annoys, annoying, irritate, irritates, irritating, bother, bothers, bothering, perturb, perturbs, perturbing, provoke, provokes, provoking, displease, displeases, displeasing",
annoyance,tazana,n,"irritation, provokation, displeasure",
annoyances,tazana'a,n,"irritations, provokations, displeasures",
annoyed,tazaka,v,"irritated, bothered, perturbed, provoked, displeased",
annoying,tazi,adj,"irksome, bothersome",
any,ash,adj/adv/pn,,
anyhow,ashrik,adv,,
anyone,ashahz,pn,,
apartment,krabakun,n,,
apartments,krabakuna,n,,
apologize,uradith,v,"apologizes, apologizing",
apologized,uradithka,v,,
appear,vakovo,v,"appears, appearing",
appearance,vakovona,n,"form, mien",
appearances,vakovona'a,n,forms,
appeared,vakovoka,v,,
apple,vobil,n,,
apples,vobila,n,,
april,rawlteno,n,rain's hand,"Abbreviation: ""Rt"""
are,vara,v,,"""We/you/y'all/they are"", Irregular verb"
are not,nara,v,aren't,"""We/you/y'all/they are not"", Irregular verb"
argonian,sakhliit,n,,Adaptation of Saxhleel
argonians,sakhliit,n,,
arm,kradi,n,,
armor,tedri,n,,
armors,tedra,n,,
arms,krada,n,,
around,ba'zrasha,adv/pr,,
arrest,rava dar,v,"arrests, imprison, imprisons, jail, jails, detain, detains, arresting, imprisoning, jailing, detaining, capture, captures, capturing","Lit. ""freedom steal"""
arrested,rava darka,v,"imprisoned, jailed, detained, captured",
arrow,sahim,n,,
arrows,sahima,n,,
art,kalaa,n,,
artifact,alado,n,"antique, relic",
artifacts,alada,n,"antiques, relics",
artist,kaliit,n,,
artistic,kalaa'i,adj,artful,
as,ba,adv/cj/pr,,
ash,saf,n,,
ashes,safa,n,,
aside,toseve,adv,,"Lit. ""at side"".  Not used as the noun for ""a remark"""
ask,atarr,v,"asks, asking, inquire, inquires, inquiring, request, requests, requesting",
asked,atarrka,v,"inquired, requested",
astride,vadoshij,pr,,"Lit. ""over stand"""
at,to,pr,,
ate,ritoka,v,"ingested, consumed",
atop,tuj,adv/pr,,
attack,takarr,v,"attacks, attacking, assault, assaults, assaulting",
attacked,takarrka,v,assaulted,
attempt,wala,v,"attempts, attempting, try, tries, trying, endeavor, endeavoring, endeavors, strive, striving, strives",
attempt,walana,n,try,An attempt
attempted,walaka,v,"tried, endeavored, strived",
attempts,walana'a,n,tries,
august,kumatu'sekil,n,last seed,"Abbreviation: ""Kts"""
aunt,tenfo,n,,
aunts,tenfa,n,,
autumn,jeh'sen,n,,Fall (Season)
away,tanja,adv,,
axe,balto,n,,
axes,balta,n,,
azura,azurah,n,,Azurah is the Khajiiti name for Azura
babies,ma'khajiit,n,infants,
baby,ma'khajiit,n,infant,ma'(race name) for other races (e.g. ma'alimer).
back,huna,adj/adv,rear,Back (Direction)
back,junor,n,,Back (Body)
backs,junora,n,,
bad,may'a,adj,"poor, imperfect, improper",
badly,may'i,adv,"poorly, imperfectly, improperly",
bag,hovep,n,"backpack, pack, pouch, purse, sack, satchel",
bags,hovepa,n,"backpacks, packs, pouches, purses, sacks, satchels",
baker,barijiit,n,,
bakers,barijiit,n,,
balance,tawa,v,"balances, balancing, harmonize, harmonizes, harmonizing, stabilize, stabilizes, stabilizing",
balance,tawana,n,"equity, equilibrium, harmony, stability",
balanced,tawaka,v,"harmonized, stabilized",
ball,zashka,n,,
balls,zashka'a,n,,
banana,mahay,n,,
bananas,mahay'a,n,,
bandit,renrij,n,"ruffian, scum, landless","Negative, dishonorable connotation."
bandits,renrija,n,ruffians,"Negative, dishonorable connotation."
bank,jahpaj,n,,
banks,jahpaja,n,,
bark,bao,v,"barks, barking",
barked,baoka,v,,
bathroom,da'khevos,n,"restroom, lavatory, washroom",
bathrooms,da'khevosa,n,"restrooms, lavatories, washrooms",
be,vaba,v,being,Irregular verb
be not,naba,v,,Irregular verb
beach,kalmir,n,,
beaches,kalmira,n,,
beak,yoka,n,,
beaks,yoka'a,n,,
beard,ifoshabi,n,,
beards,ifoshaba,n,,
beautiful,serush,adj,"pretty, gorgeous, lovely",
beauty,serushna,n,,
became,vabekazar,v,,"""He/she/it became"", Irregular verb"
became,vaberzari,v,,"""I became"", Irregular verb"
became,vaberzarita,v,,"""We/you/y'all/they became"", Irregular verb"
because,zato,cj,,
become,varazeri,v,,"""We/you/y'all/they become"", Irregular verb"
become,vazeri,v,,"""I become"", Irregular verb"
